经度,纬度
120.345048,31.602038
120.27175,31.470483
120.340177,31.595122
120.33215,31.534208
120.333963,31.578765
120.326585,31.551166
120.284939,31.920658
120.322387,31.597027
120.333963,31.578765
120.329949,31.5702
120.334881,31.536254
120.327594,31.580501
120.318692,31.560009
120.381499,31.486437
120.321854,31.662336
120.294634,31.491738
120.431201,31.541846
120.270889,31.596414
120.325666,31.581318
120.333963,31.578765
120.343591,31.599075
120.338545,31.59762
120.30476,31.540131
120.188614,31.710925
120.326025,31.491048
120.295776,31.549456
120.295776,31.549456
120.455002,31.584253
120.461571,31.590687
120.448831,31.593003
120.317306,31.662414
120.472583,31.599874
120.260985,31.468588
120.244055,31.897226
120.274398,31.562729
120.277808,31.563339
120.22176,31.54744
120.274398,31.562729
120.260926,31.549293
120.258597,31.558491
120.274398,31.562729
120.253601,31.535969
120.245845,31.553013
120.244055,31.897226
120.261236,31.545241
120.24747,31.563563
120.254062,31.550774
120.258597,31.558491
120.254062,31.550774
120.20267,31.540704
120.266332,31.53732
120.245845,31.553013
120.277808,31.563339
120.286373,31.557253
120.245845,31.553013
120.254062,31.550774
120.27175,31.470483
120.277808,31.563339
120.260926,31.549293
120.27251,31.551685
120.295044,31.566323
120.24747,31.563563
120.260926,31.549293
120.27032,31.48933
120.274398,31.562729
120.27175,31.470483
120.281121,31.524993
120.244055,31.897226
120.27175,31.470483
120.254062,31.550774
120.20267,31.540704
120.20267,31.540704
120.261458,31.561273
120.277808,31.563339
120.260926,31.549293
120.274398,31.562729
120.258597,31.558491
120.260926,31.549293
120.260572,31.534248
120.286373,31.557253
120.321788,31.660522
120.301471,31.555341
120.274398,31.562729
120.265151,31.56673
120.27032,31.48933
120.266468,31.548415
120.272558,31.52723
120.283228,31.556916
120.259233,31.562537
120.333064,31.58244
120.260926,31.549293
120.353964,31.595164
120.244055,31.897226
120.260926,31.549293
120.450227,31.599568
120.267524,31.525303
120.260901,31.597419
120.288588,31.594215
120.381101,31.549367
120.274398,31.562729
120.254062,31.550774
120.29855,31.603137
120.34326,31.580125
120.284455,31.622496
120.301471,31.555341
120.317426,31.66069
120.201006,31.548498
120.279427,31.535794
120.260926,31.549293
120.261458,31.561273
120.20267,31.540704
120.27175,31.470483
120.245845,31.553013
120.265151,31.56673
120.243345,31.546189
120.271465,31.56157
120.282662,31.604957
120.317426,31.66069
120.261236,31.545241
120.339481,31.56631
120.300618,31.585431
120.199727,31.544447
120.260926,31.549293
120.244055,31.897226
120.268074,31.559894
120.264664,31.556952
120.333064,31.58244
120.277808,31.563339
120.321788,31.660522
120.24747,31.563563
120.27175,31.470483
120.281951,31.489012
120.260572,31.534248
120.274398,31.562729
120.350243,31.539869
120.244055,31.897226
120.408153,31.582075
120.261158,31.564812
120.27175,31.470483
120.258597,31.558491
120.274398,31.562729
120.253601,31.535969
120.244055,31.897226
120.321788,31.660522
120.356961,31.578545
120.327957,31.593146
120.24747,31.563563
120.264664,31.556952
120.261158,31.564812
120.244055,31.897226
120.357858,31.589715
120.244055,31.897226
120.2539,31.55517
120.267524,31.525303
120.274398,31.562729
120.244055,31.897226
120.337883,31.60508
120.267524,31.525303
120.244055,31.897226
120.366808,31.607261
120.301471,31.555341
120.333064,31.58244
120.277808,31.563339
120.301471,31.555341
120.244055,31.897226
120.280809,31.535102
120.238067,31.551539
120.284155,31.592656
120.328245,31.552387
120.326914,31.502032
120.22176,31.54744
120.289055,31.525716
120.35232,31.546852
120.245845,31.553013
120.426945,31.54818
120.261458,31.561273
120.310943,31.601725
120.22176,31.54744
120.272169,31.532263
120.244055,31.897226
120.445458,31.551754
120.260572,31.534248
120.254062,31.550774
120.238067,31.551539
120.318459,31.537134
120.451537,31.55044
120.30163,31.58806
120.451537,31.55044
120.277808,31.563339
120.260926,31.549293
120.281735,31.487489
120.20267,31.540704
120.305801,31.63561
120.352778,31.550957
120.253601,31.535969
120.289055,31.525716
120.20267,31.540704
120.318459,31.537134
120.252771,31.55996
120.29855,31.603137
120.279222,31.633345
120.20267,31.540704
120.261458,31.561273
120.277808,31.563339
120.274398,31.562729
120.280809,31.535102
120.266468,31.548415
120.244055,31.897226
120.254062,31.550774
120.283228,31.556916
120.272558,31.52723
120.381101,31.549367
120.253601,31.535969
120.418957,31.545462
120.24747,31.563563
120.317426,31.66069
120.27032,31.48933
120.317426,31.66069
120.365446,31.596535
120.267145,31.538502
120.244055,31.897226
120.245845,31.553013
120.253601,31.535969
120.318743,31.605968
120.284455,31.622496
120.274398,31.562729
120.274398,31.562729
120.326585,31.551166
120.303825,31.572833
120.274398,31.562729
120.264664,31.556952
120.305941,31.556829
120.283228,31.556916
120.245845,31.553013
120.254062,31.550774
120.268074,31.559894
120.324617,31.679572
120.262363,31.565831
120.475191,31.598893
120.265151,31.56673
120.392241,31.506077
120.317426,31.66069
120.342187,31.551115
120.268074,31.559894
120.356961,31.578545
120.296591,31.575719
120.397189,31.581148
120.273662,31.547792
120.475191,31.598893
120.35232,31.546852
120.20267,31.540704
120.327594,31.580501
120.349197,31.573335
120.28926,31.581871
120.311465,31.595578
120.324617,31.679572
120.244055,31.897226
120.123863,31.461972
120.357858,31.589715
120.260926,31.549293
120.230364,31.547785
120.238067,31.551539
120.204521,31.610485
120.312519,31.520367
120.305965,31.643491
120.317426,31.66069
120.289055,31.525716
120.321853,31.662326
120.301471,31.555341
120.317426,31.66069
120.300618,31.585431
120.301471,31.555341
120.2539,31.55517
120.295548,31.584529
120.244055,31.897226
120.445458,31.551754
120.260572,31.534248
120.317426,31.66069
120.475191,31.598893
120.245845,31.553013
120.274398,31.562729
120.258597,31.558491
120.265151,31.56673
120.261458,31.561273
120.264664,31.556952
120.285876,31.560306
120.267524,31.525303
120.24747,31.563563
120.358052,31.563724
120.281121,31.524993
120.30457,31.4947
120.318743,31.605968
120.260926,31.549293
120.440058,31.55498
120.200636,31.543515
120.34326,31.580125
120.27865,31.490071
120.24747,31.563563
120.272558,31.52723
120.386231,31.526156
120.352778,31.550957
120.299808,31.603107
120.294457,31.602867
120.290315,31.604389
120.283228,31.556916
120.325666,31.581318
120.273662,31.547792
120.418957,31.545462
120.317426,31.66069
120.448467,31.595847
120.308347,31.555925
120.249457,31.549734
120.381101,31.549367
120.310875,31.663873
120.259505,31.599521
120.305533,31.646839
120.260926,31.549293
120.301771,31.603259
120.310875,31.663873
120.284455,31.622496
120.321853,31.662326
120.29531,31.676432
120.301742,31.593207
120.290315,31.604389
120.307308,31.569517
120.284791,31.570637
120.301471,31.555341
120.27251,31.551685
120.285876,31.560306
120.294737,31.591115
120.317426,31.66069
120.335795,31.601795
120.262363,31.565831
120.317074,31.546855
120.305533,31.646839
120.325303,31.576569
120.274398,31.562729
120.322946,31.579489
120.199727,31.544447
120.311917,31.555365
120.408153,31.582075
120.305099,31.489129
120.298511,31.59073
120.298511,31.59073
120.301742,31.593207
120.304405,31.570128
120.288254,31.598678
120.238067,31.551539
120.284452,31.645038
120.324617,31.679572
120.35232,31.546852
120.294576,31.617079
120.290315,31.604389
120.278878,31.626889
120.288588,31.594215
120.357582,31.569006
120.24747,31.563563
120.289508,31.569092
120.280906,31.597298
120.371634,31.565502
120.253601,31.535969
120.317426,31.66069
120.282662,31.604957
120.296421,31.5593
120.335782,31.566942
120.2539,31.55517
120.317426,31.66069
120.277249,31.606742
120.324617,31.679572
120.27175,31.470483
120.258597,31.558491
120.258597,31.558491
120.271465,31.56157
120.31409,31.595496
120.311465,31.595578
120.264668,31.590994
120.260572,31.534248
120.324806,31.593626
120.307524,31.575252
120.294576,31.617079
120.282662,31.604957
120.284455,31.622496
120.27723,31.601978
120.342321,31.559428
120.318459,31.537134
120.264668,31.590994
120.20267,31.540704
120.288254,31.598678
120.342321,31.559428
120.279427,31.535794
120.356849,31.571003
120.279693,31.6021
120.244055,31.897226
120.283228,31.556916
120.294594,31.599587
120.307875,31.575998
120.277249,31.606742
120.249457,31.549734
120.124604,31.486841
120.268831,31.598466
120.317426,31.66069
120.259505,31.599521
120.284355,31.63852
120.259233,31.562537
120.301471,31.555341
120.244055,31.897226
120.324617,31.679572
120.260572,31.534248
120.265151,31.56673
120.317426,31.66069
120.264668,31.590994
120.245575,31.542892
120.356961,31.578545
120.2539,31.55517
120.252106,31.611818
120.244055,31.897226
120.265151,31.56673
120.299808,31.603107
120.27251,31.551685
120.2985,31.681012
120.281735,31.487489
120.274398,31.562729
120.265912,31.540021
120.24747,31.563563
120.352778,31.550957
120.301471,31.555341
120.292336,31.67126
120.274398,31.562729
120.302974,31.486144
120.362761,31.58668
120.260926,31.549293
120.326086,31.551053
120.264664,31.556952
120.321788,31.660522
120.327441,31.545118
120.306163,31.520933
120.317426,31.66069
120.260926,31.549293
120.277808,31.563339
120.321788,31.660522
120.300618,31.585431
120.362493,31.472105
120.260926,31.549293
120.27865,31.490071
120.320187,31.596641
120.292749,31.552165
120.348942,31.55705
120.321853,31.662326
120.302988,31.526088
120.40519,31.568529
120.324617,31.679572
120.284087,31.597541
120.305099,31.489129
120.299894,31.544806
120.317426,31.66069
120.301471,31.555341
120.301471,31.555341
120.335314,31.573375
120.305801,31.63561
120.301742,31.593207
120.284001,31.49665
120.24747,31.563563
120.252106,31.611818
120.284355,31.63852
120.295776,31.549456
120.317426,31.66069
120.353627,31.537752
120.359421,31.584003
120.286664,31.576775
120.301471,31.555341
120.343591,31.599075
120.277249,31.606742
120.295044,31.566323
120.306581,31.600682
120.284355,31.63852
120.288254,31.598678
120.287473,31.574975
120.289397,31.562683
120.317426,31.66069
120.317426,31.66069
120.342321,31.559428
120.324617,31.679572
120.325666,31.581318
120.266219,31.552837
120.268831,31.598466
120.285136,31.627241
120.301471,31.555341
120.301471,31.555341
120.315432,31.571543
120.318459,31.537134
120.282662,31.604957
120.2985,31.681012
120.368944,31.577904
120.305099,31.489129
120.342249,31.605953
120.282662,31.604957
120.318459,31.537134
120.357582,31.569006
120.2539,31.55517
120.266219,31.552837
120.342321,31.559428
120.2985,31.681012
120.278878,31.626889
120.325666,31.581318
120.329949,31.5702
120.296268,31.580715
120.249473,31.554468
120.288588,31.594215
120.298511,31.59073
120.338545,31.59762
120.284355,31.63852
120.244055,31.897226
120.263783,31.609255
120.327998,31.661281
120.279693,31.6021
120.305295,31.591969
120.298331,31.572021
120.24747,31.563563
120.314151,31.5934
120.259505,31.599521
120.284355,31.63852
120.260926,31.549293
120.282662,31.604957
120.266468,31.548415
120.40519,31.568529
120.332544,31.579892
120.332544,31.579892
120.296598,31.58715
120.249473,31.554468
120.290399,31.674781
120.35232,31.546852
120.303825,31.572833
120.406904,31.574768
120.378062,31.574235
120.299808,31.603107
120.305099,31.489129
120.280956,31.637807
120.309498,31.640778
120.264664,31.556952
120.317426,31.66069
120.322946,31.579489
120.310389,31.571435
120.288588,31.594215
120.397189,31.581148
120.311715,31.577565
120.260926,31.549293
120.284791,31.570637
120.323869,31.595702
120.342249,31.605953
120.318459,31.537134
120.305295,31.591969
120.332544,31.579892
120.267705,31.597546
120.289055,31.525716
120.295044,31.566323
120.305295,31.591969
120.260926,31.549293
120.249473,31.554468
120.292749,31.552165
120.339481,31.56631
120.274398,31.562729
120.301575,31.562204
120.282662,31.604957
120.258597,31.558491
120.266219,31.552837
120.284455,31.622496
120.326652,31.584204
120.448467,31.595847
120.318306,31.56302
120.260926,31.549293
120.325666,31.581318
120.290399,31.674781
120.267524,31.525303
120.264668,31.590994
120.266468,31.548415
120.26904,31.557012
120.289034,31.607698
120.318306,31.56302
120.264664,31.556952
120.284452,31.645038
120.304739,31.595312
120.264664,31.556952
120.339481,31.56631
120.379463,31.544506
120.351665,31.553527
120.294594,31.599587
120.297588,31.588585
120.294594,31.599587
120.329949,31.5702
120.35232,31.546852
120.301471,31.555341
120.364354,31.588608
120.252254,31.601698
120.318459,31.537134
120.301471,31.555341
120.294576,31.617079
120.2539,31.55517
120.265151,31.56673
120.310955,31.580742
120.455002,31.584253
120.327823,31.484103
120.357582,31.569006
120.200173,31.546742
120.260572,31.534248
120.282662,31.604957
120.258597,31.558491
120.335795,31.601795
120.286373,31.557253
120.351665,31.553527
120.274398,31.562729
120.284355,31.63852
120.311465,31.595578
120.317426,31.66069
120.20267,31.540704
120.253601,31.535969
120.307308,31.569517
120.326189,31.483967
120.298511,31.59073
120.301471,31.555341
120.262363,31.565831
120.325666,31.581318
120.356849,31.571003
120.473454,31.593203
120.310875,31.663873
120.317426,31.66069
120.260926,31.549293
120.303348,31.561367
120.306581,31.600682
120.251402,31.557624
120.301471,31.555341
120.30476,31.540131
120.332544,31.579892
120.277808,31.563339
120.244055,31.897226
120.301471,31.555341
120.260926,31.549293
120.260901,31.597419
120.335795,31.601795
120.301471,31.555341
120.341672,31.591596
120.335795,31.601795
120.301742,31.593207
120.310389,31.571435
120.318306,31.56302
120.317426,31.66069
120.277249,31.606742
120.31395,31.527625
120.259505,31.599521
120.308825,31.570128
120.284355,31.63852
120.287473,31.574975
120.284455,31.622496
120.39402,31.586296
120.340177,31.595122
120.288254,31.598678
120.298511,31.59073
120.288254,31.598678
120.294457,31.602867
120.445458,31.551754
120.305295,31.591969
120.273662,31.547792
120.301471,31.555341
120.260926,31.549293
120.367661,31.559785
120.321788,31.660522
120.397189,31.581148
120.318459,31.537134
120.327078,31.589942
120.298511,31.59073
120.335795,31.601795
120.284355,31.63852
120.379463,31.544506
120.201006,31.548498
120.264664,31.556952
120.301471,31.555341
120.328245,31.552387
120.318936,31.589681
120.338545,31.59762
120.318479,31.582918
120.311229,31.566049
120.365446,31.596535
120.256796,31.56971
120.284155,31.592656
120.342249,31.605953
120.34326,31.580125
120.305801,31.63561
120.260926,31.549293
120.301471,31.555341
120.282662,31.604957
120.466485,31.595316
120.28797,31.640606
120.301471,31.555341
120.287639,31.636765
120.288254,31.598678
120.264664,31.556952
120.284455,31.622496
120.317426,31.66069
120.397189,31.581148
120.317426,31.66069
120.284455,31.622496
120.292008,31.491113
120.313228,31.643299
120.264668,31.590994
120.329949,31.5702
120.290315,31.604389
120.201006,31.548498
120.2985,31.681012
120.27175,31.470483
120.284355,31.63852
120.295044,31.566323
120.292249,31.573873
120.33206,31.594888
120.31569,31.602252
120.266332,31.53732
120.261236,31.545241
120.294668,31.60249
120.317426,31.66069
120.264668,31.590994
120.335795,31.601795
120.344572,31.532643
120.273808,31.586186
120.251402,31.557624
120.249473,31.554468
120.278878,31.626889
120.285136,31.627241
120.20267,31.540704
120.260572,31.534248
120.318306,31.56302
120.33206,31.594888
120.280956,31.637807
120.279693,31.6021
120.301471,31.555341
120.317426,31.66069
120.306581,31.600682
120.34326,31.580125
120.298511,31.59073
120.244055,31.897226
120.305533,31.646839
120.301471,31.555341
120.305533,31.646839
120.259505,31.599521
120.254062,31.550774
120.268151,31.603482
120.260926,31.549293
120.317426,31.66069
120.259505,31.599521
120.301471,31.555341
120.20267,31.540704
120.453557,31.582634
120.254062,31.550774
120.274398,31.562729
120.292249,31.573873
120.308347,31.555925
120.302219,31.487676
120.359521,31.618572
120.334737,31.4953
120.293306,31.585726
120.34326,31.580125
120.289397,31.562683
120.359421,31.584003
120.206233,31.54704
120.305965,31.643491
120.294373,31.583067
120.2985,31.681012
120.343591,31.599075
120.427795,31.550759
120.311465,31.595578
120.199727,31.544447
120.35232,31.546852
120.301318,31.58116
120.2985,31.681012
120.277249,31.606742
120.284452,31.645038
120.321788,31.660522
120.249473,31.554468
120.2539,31.55517
120.306679,31.598804
120.260572,31.534248
120.245845,31.553013
120.264664,31.556952
120.278878,31.626889
120.310943,31.601725
120.260901,31.597419
120.301471,31.555341
120.327594,31.580501
120.339481,31.56631
120.317426,31.66069
120.297291,31.547311
120.260926,31.549293
120.297291,31.547311
120.299559,31.673284
120.335795,31.601795
120.278878,31.626889
120.297668,31.586684
120.35232,31.546852
120.287473,31.574975
120.317426,31.66069
120.280956,31.637807
120.321853,31.662326
120.397189,31.581148
120.2985,31.681012
120.301471,31.555341
120.351665,31.553527
120.341672,31.591596
120.283228,31.556916
120.284355,31.63852
120.298511,31.59073
120.321788,31.660522
120.252106,31.611818
120.33215,31.534208
120.259505,31.599521
120.282662,31.604957
120.267524,31.525303
120.317426,31.66069
120.301471,31.555341
120.279427,31.535794
120.282662,31.604957
120.264668,31.590994
120.265151,31.56673
120.301471,31.555341
120.260572,31.534248
120.335795,31.601795
120.33215,31.534208
120.264668,31.590994
120.267705,31.597546
120.265151,31.56673
120.22176,31.54744
120.335795,31.601795
120.252106,31.611818
120.317426,31.66069
120.288588,31.594215
120.318459,31.537134
120.247075,31.560272
120.284087,31.597541
120.295714,31.578796
120.277808,31.563339
120.282662,31.604957
120.282662,31.604957
120.277249,31.606742
120.318459,31.537134
120.260926,31.549293
120.298511,31.59073
120.252771,31.55996
120.397189,31.581148
120.2934,31.587899
120.237678,31.562282
120.35232,31.546852
120.249473,31.554468
120.365446,31.596535
120.324806,31.593626
120.312745,31.544215
120.338876,31.587957
120.337883,31.60508
120.318459,31.537134
120.351665,31.553527
120.318459,31.537134
120.327078,31.589942
120.264668,31.590994
120.298084,31.581353
120.325303,31.576569
120.282662,31.604957
120.260926,31.549293
120.261158,31.564812
120.252254,31.601698
120.297668,31.586684
120.346114,31.559726
120.267705,31.597546
120.25723,31.567567
120.35232,31.546852
120.252106,31.611818
120.318459,31.537134
120.22176,31.54744
120.20267,31.540704
120.349197,31.573335
120.27723,31.601978
120.35232,31.546852
120.342249,31.605953
120.301471,31.555341
120.306581,31.600682
120.284155,31.592656
120.274398,31.562729
120.315432,31.571543
120.329949,31.5702
120.298638,31.62287
120.285136,31.627241
120.322946,31.579489
120.339481,31.56631
120.245845,31.553013
120.335795,31.601795
120.335795,31.601795
120.350585,31.571752
120.329949,31.5702
120.301742,31.593207
120.274398,31.562729
120.327998,31.661281
120.264668,31.590994
120.278878,31.626889
120.29855,31.603137
120.273662,31.547792
120.268831,31.598466
120.284087,31.597541
120.332705,31.587765
120.318306,31.56302
120.255565,31.611665
120.20267,31.540704
120.259505,31.599521
120.283228,31.556916
120.2539,31.55517
120.295548,31.584529
120.301471,31.555341
120.252764,31.596531
120.252106,31.611818
120.278878,31.626889
120.288588,31.594215
120.350585,31.571752
120.317426,31.66069
120.301471,31.555341
120.277808,31.563339
120.359807,31.54282
120.297588,31.588585
120.299006,31.635379
120.342321,31.559428
120.267145,31.538502
120.299573,31.598418
120.334924,31.566206
120.38853,31.53473
120.386231,31.526156
120.292749,31.552165
120.333064,31.58244
120.277808,31.563339
120.358052,31.563724
120.292918,31.601474
120.333064,31.58244
120.279427,31.535794
120.265151,31.56673
120.317426,31.66069
120.397189,31.581148
120.325303,31.576569
120.310389,31.571435
120.475191,31.598893
120.317426,31.66069
120.244055,31.897226
120.278878,31.626889
120.322946,31.579489
120.301471,31.555341
120.326189,31.483967
120.261458,31.561273
120.384627,31.571182
120.248855,31.554468
120.308347,31.555925
120.284155,31.592656
120.27032,31.48933
120.339481,31.56631
120.3505,31.586
120.27865,31.490071
120.318306,31.56302
120.259505,31.599521
120.335795,31.601795
120.324387,31.583608
120.343591,31.599075
120.20267,31.540704
120.358052,31.563724
120.314151,31.5934
120.261458,31.561273
120.305965,31.643491
120.305801,31.63561
120.356849,31.571003
120.305134,31.631473
120.305533,31.646839
120.260926,31.549293
120.297668,31.586684
120.301471,31.555341
120.310943,31.601725
120.321788,31.660522
120.325666,31.581318
120.261313,31.560324
120.321788,31.660522
120.260926,31.549293
120.307875,31.575998
120.267524,31.525303
120.245845,31.553013
120.318306,31.56302
120.301471,31.555341
120.252106,31.611818
120.267524,31.525303
120.260926,31.549293
120.301742,31.593207
120.265151,31.56673
120.249473,31.554468
120.295044,31.566323
120.295205,31.632425
